,cm,accuracy,ps,rs,f1,time_taken
GaussianNB,"[[402 484]
 [122 515]]",0.6021011162179908,0.5155155155155156,0.8084772370486656,0.6295843520782396,3.714070965987048
DecisionTree,"[[717 169]
 [211 426]]",0.7504924491135916,0.7159663865546219,0.6687598116169545,0.6915584415584416,45.801355659001274
XGBClassifier,"[[800  86]
 [253 384]]",0.7774130006565988,0.8170212765957446,0.6028257456828885,0.6937669376693767,121.48201550300291
Ridge,"[[758 128]
 [210 427]]",0.778069599474721,0.7693693693693694,0.6703296703296703,0.7164429530201343,16.52106878098857
LogisticRegression,"[[782 104]
 [196 441]]",0.8030203545633617,0.8091743119266055,0.6923076923076923,0.7461928934010152,7.781305179989431
SVC,"[[820  66]
 [219 418]]",0.8128693368351937,0.8636363636363636,0.6562009419152276,0.7457627118644067,984.3647028630076
knn,"[[864  22]
 [419 218]]",0.7104399212081418,0.9083333333333333,0.34222919937205654,0.4971493728620296,307.89152906500385
